Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,AAA,,AAA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ABT,,,,,,,,,,,,,,,,,,,
,,,ACC,,,,,,,,,ACC,ACC,,,ACC,ACC,,,,,,,,,,,,,,,,,,
ACL,ACL,ACL,,,,,ACL,ACL,,,,ACL,ACL,ACL,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGM,,,,
,,,,,,AGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,APG,,,,,,,,,,,,,,,,,,,,,,,,APG,,,,
,,,,,,,,ASM,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,ASP,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFC,BFC,,,BFC,BFC,BFC
,,,,,,,,,,,,BGM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHN,
,,,,,,,,,,,BHS,,,,BHS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,,,,,,,,,,,,,BMC,BMC,BMC,BMC,BMC,BMC,,BMC,BMC,BMC,BMC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BMP,BMP,BMP,,,,,,,,,,BMP,,BMP,,,BMP,,,,,,,,BMP,,,BMP,,BMP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,BTP,,,,,,,,,,,,,,,,,,,,,,,,,,BTP,,BTP,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,C32,C32,,,C32,,,,C32,C32,,C32,C32,,,C32,,,C32,,C32,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CAV,CAV,CAV,,CAV,CAV,,,CAV,,,,CAV,CAV,,CAV,CAV,CAV,
,,,,,,,,,,CCI,,CCI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDO,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,CHP,,,,CHP,,,,CHP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG,,
,,,,,,,,,CII,,,,,CII,,,CII,CII,,,,,,CII,,,CII,CII,CII,,,,,CII,
,,,,,,,,,,,,,,CLC,,,,,CLC,CLC,CLC,CLC,,CLC,CLC,,,CLC,,CLC,CLC,CLC,,CLC,CLC
,,,,,,,,,CLG,,,,,CLG,,,,,,,CLG,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CLW,,,,,,,,,,,CLW,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CMT,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CMV,,,,,,,,,,,,CMV,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CMX,,,,,,,,,,,,CMX,CMX,CMX,CMX,CMX,CMX,,,,,
,,,,,,,,,,,,,CNG,CNG,,,CNG,CNG,,CNG,CNG,CNG,,CNG,CNG,CNG,,,CNG,CNG,,,CNG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COM,,,,,COM,COM
,,,,,CSM,CSM,,,,,,,,,,,CSM,CSM,,CSM,CSM,CSM,CSM,CSM,CSM,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CSV,,CSV,CSV,,,,CSV,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,CTD,CTD,CTD,
,,,,CTG,,,,,,,,,,,,,,CTG,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,D2D,,,,D2D,,D2D,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHC,,,,
,,,,,DHG,,DHG,,,,,,DHG,DHG,,DHG,DHG,,,DHG,DHG,DHG,,,DHG,,,,,,,,,,DHG
,,,,,,,,,,,,,,,,DHM,DHM,,,,,,,,,,,,,,,,,,
,,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,DIG,DIG,,,,DIG,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DPM,,,,,,,,,,,DPM,DPM,DPM,DPM,DPM,DPM,,,DPM,DPM,,,,,,,,,,,,,,
,,DPR,,,,,,,,DPR,DPR,DPR,DPR,DPR,DPR,,,DPR,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,DQC,DQC,,,,,,,,,
DRC,,,,DRC,DRC,DRC,DRC,,,,,,,,,,DRC,DRC,,DRC,DRC,DRC,,DRC,DRC,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,DRL,DRL,,DRL,,DRL,DRL,DRL,,,DRL,,,,DRL,,,,,DRL
,,,,,,,,,,,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DTL,,,,,,,,,,,,,,,,,,,,,DTL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,DVP,,DVP,DVP,DVP,,DVP,DVP,DVP,,DVP,DVP,DVP,,DVP,DVP,DVP,,DVP,,DVP,,DVP,DVP,DVP,
,,,,,,,,DXG,DXG,,,,,,,,,,,,,,,,,,DXG,,DXG,DXG,,,,,DXG
,,,,,,,,,,,DXV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ELC,ELC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FCM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,FCN,FCN,FCN,,,FCN,FCN,FCN,,,,,,FCN,,,,FCN,,,,FCN
,,,,,,FDC,,,,,,,,,,,,,,,,,FDC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,FIT,FIT,FIT,FIT,FIT,,FIT,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FMC,,,,FMC,,,,FMC,,FMC,,,,,FMC,,,,FMC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPT,FPT,,FPT,FPT,FPT,FPT,,FPT,FPT,FPT,,FPT,FPT,FPT,FPT,FPT,FPT,FPT,FPT,FPT,FPT,FPT,,FPT,FPT,,,FPT,,,,,,,
,,,,,FTS,FTS,FTS,FTS,FTS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,GAS,,GAS,GAS,GAS,GAS,GAS,GAS,GAS,,GAS,GAS,GAS,GAS,GAS,,,,,,,
,,,,,,,,,,GDT,,,GDT,GDT,,,,,GDT,,,GDT,,,GDT,GDT,,,,GDT,GDT,GDT,GDT,GDT,GDT
,,,,,,,,,,,,,,,,,,,,,,,GIL,,,,,,,,,GIL,,,
,,,,,,GMC,,,,,,,,GMC,,GMC,GMC,GMC,,GMC,GMC,GMC,,GMC,,GMC,,GMC,GMC,,,,GMC,,
,,,,,,,,,,,,,,,,,,,,,,,,,GMD,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HAH,HAH,,HAH,HAH,HAH,,,
,,,,,,,,,,,,HAI,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAX,,,HAX,,HAX,
,,,,,,,,,,,,,,,,,,,HBC,,,,,,,,,,,,,,,HBC,HBC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,HDC,,HDC,HDC,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,HDG,HDG,HDG,,,,,HDG,,,,HDG,,,,,,,,,,,,,,,,HDG
,,,,,,,,,,,,HHS,HHS,,,,,,,,,,,,,,,HHS,HHS,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HLG,HLG,HLG,HLG,HLG,
,HMC,,,,,,,,,,,HMC,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HOT,,HOT,,HOT,,,,HOT,,,,,,,,,,,
HPG,,,,,,,,,,,,,,,,,,,,,,,,HPG,HPG,HPG,,,HPG,HPG,,HPG,HPG,HPG,HPG
,,,,,,,,,,HQC,HQC,,,,,,,,,,,,,,,,,,,,HQC,,,,
HRC,,,,,,,,,,,,HRC,,,,HRC,,,,,,,,,,,,,,,,,,,
,HSG,,,,HSG,HSG,HSG,,,,,,,,,,,,,HSG,HSG,,,,,,,,HSG,,,HSG,HSG,HSG,HSG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,HTL,,HTL,,,HTL,HTL,HTL,HTL,HTL,HTL,HTL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,HU1,HU1,HU1,,HU1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,HU3,HU3,HU3,,,,HU3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,HVG,,,,HVG,,HVG,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,IJC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,ITD,ITD,ITD,,,,,ITD,,,,ITD,,,,,,,ITD,,,,ITD
,,,,,,,,,,,JVC,,,,JVC,,,JVC,JVC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,KAC,,,,,,,,,,,,,,,,,,
,,,,,,,,,KBC,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,KDC,,KDC,,,,,,,,,,KDC,,,,KDC,,,,,,,KDC,,,,,KDC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,KHA,,,,,,,,,,,,,,,,,,,,,,,KHA,,,,,KHA,,,,
,,,,,,,,,,,,,,KHP,,,,KHP,,,,,,,,,,,KHP,,,,,KHP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,KSA,KSA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,KSB,KSB,,KSB,,,,,,,,,,,,,,,,,,,,,KSB,KSB,KSB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LAF,LAF,,,LAF,LAF,,,,,,,,,LAF,,LAF,,,,,,,,LAF,,,,
LBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LBM,,,LBM,LBM,
,LCG,,LCG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,LCM,,LCM,,LCM,,,,,,,,,,,,,LCM,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LGC,,,,,,,,,,,,,,,,,,,,,,,,,LGC,LGC,,,,,,LGC,
,,,,,,,,LGL,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,LHG,,,,,,,,,,,,,,,,,,,,,,,,LHG
,,,LIX,,,LIX,,LIX,,,,,LIX,,,,,,LIX,LIX,,,,,,,,LIX,LIX,LIX,LIX,LIX,LIX,LIX,LIX
,,,,,,,,,,,,,,,,LM8,,,,LM8,LM8,,,,LM8,,,,,,,,,,
,,,,,,,,LSS,LSS,,,LSS,,LSS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,MHC,,,,,,,,,,,,,MHC,,MHC,,,,,MHC,MHC,,,
,,,,,,,,,,,MSN,,,,,,,,,,,,,,,,MSN,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,MWG,MWG,MWG,MWG,MWG,MWG,MWG,MWG,MWG,MWG,MWG,MWG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,NBB,,,,,,,,,,NBB,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,NCT,NCT,NCT,NCT,NCT,NCT,NCT,NCT,NCT,NCT,NCT
,,,,,,,,NKG,NKG,,,NKG,,,,,,,,NKG,,,,,,,,,,,,NKG,NKG,NKG,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,NNC,,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC,NNC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,NSC,,,NSC,NSC,,,NSC,NSC,NSC,,NSC,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,NT2,NT2,NT2,,,NT2,NT2,,,
,,,NTL,,NTL,NTL,NTL,,NTL,NTL,NTL,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OGC,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,OPC,,,,,,,,,,,
,,PAC,,PAC,PAC,PAC,,,,PAC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,PAN,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,PC1,,PC1,,,PC1,PC1,PC1,,,,,,PC1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,PET,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PLX,,,PLX,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,PGD,,PGD,,PGD,,,PGD,,PGD,,PGD,,PGD,PGD,,,,PGD,,,,,,,PGD,,,,PGD,,,
,,,,,,,,,,,,,,,,,,,,,PGI,,,,,,,,,,,,,,
,,,,,,,,,,PHR,PHR,PHR,,PHR,PHR,PHR,,,PHR,,,,PHR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
