No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008,
1,AAA,,-0.1064,0.3595,0.6806,0.3333,-0.129,-0.0677,-0.0221,-0.2316,0.0536,-0.0919,-0.1991,0.3669,0.2612,-0.141,0.0833,0.1163,-0.0851,-0.2732,0.1687,0.2388,-0.1728,0.102,-0.4787,-0.1873,-0.541,0,0,0,0,0,0,0,0,0,0,
2,AAM,,-0.0467,-0.1008,0.0917,-0.0091,0,-0.0909,-0.097,-0.1007,0.042,0,-0.0949,0.0064,-0.108,-0.2348,-0.0574,-0.0543,-0.0077,-0.0335,0.1025,0.0124,0.0478,0.15,-0.1379,-0.0333,-0.0083,-0.2414,-0.0215,-0.0326,0,0,0,0,0,0,0,
3,ABT,,-0.0938,0,-0.0184,-0.0596,-0.037,-0.0092,0.0686,-0.1707,0.23,0,0.0684,0.2093,0.0078,-0.0611,0.0174,0.0635,-0.0053,0,0.0411,0.061,-0.14,0.0638,0.0027,-0.1176,-0.15,-0.1071,0.0566,-0.2789,0.2149,0.6806,0.5652,-0.0377,-0.3856,0.1374,-0.4484,
4,ACC,,-0.0197,0.0235,0.1245,0.0861,-0.0722,-0.1516,-0.0606,0.162,0.0143,-0.0508,-0.0167,0.1321,0.1042,-0.3084,0.2804,0.1292,0.0042,0.0814,0.2278,0.0286,0.0057,-0.281,-0.12,0.1134,0.0165,-0.4873,0,0,0,0,0,0,0,0,0,
5,ACL,,-0.1111,-0.0426,0.0217,-0.0417,0.0213,0.033,-0.0619,-0.1638,0.1837,0.0103,-0.0202,0.0421,-0.0206,-0.1261,-0.0593,-0.0167,-0.2308,-0.1086,-0.0437,0.0828,-0.3158,0.0739,-0.1321,-0.0702,-0.0532,-0.21,0.2742,0.0346,-0.1719,0.4245,0.7014,-0.3684,-0.4698,0,0,
6,AGF,,-0.0506,-0.1414,-0.161,-0.3059,0.0366,-0.1503,0.0489,-0.1442,0.0859,0.0154,-0.0714,0.1732,-0.1005,-0.4314,0.6055,0.1354,-0.2836,-0.0596,0.4039,-0.0098,0.0789,-0.0206,-0.1182,-0.102,-0.1493,-0.1724,0.0058,0.0646,0.1285,0.2973,0.7344,-0.2,-0.4245,0.2035,-0.5515,
7,AGM,,0.0135,-0.25,0.2549,0.02,-0.0385,0.04,-0.0566,-0.0862,-0.0333,-0.1241,0,0.096,-0.0385,-0.2308,-0.1105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,AGR,,-0.128,-0.1379,0,-0.2368,-0.2245,-0.1404,-0.0656,-0.0896,-0.0563,0.0758,0.2941,0.0625,0.0667,-0.1667,-0.0357,0.1667,-0.2,-0.25,0.2903,0.3191,-0.4268,-0.1717,-0.161,-0.0635,0,-0.25,-0.2294,0,0,0,0,0,0,0,0,
9,AMD,,0.2991,-0.0859,0.1429,0.0566,-0.0783,-0.2628,-0.037,-0.1563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,ANV,,0.0968,-0.1622,-0.0633,-0.092,0.0357,-0.0968,-0.1468,0.0093,0.0909,0.0879,-0.0714,0.0538,0.3881,-0.1184,0.0133,0.1364,-0.1429,-0.1895,0.044,0.1375,0.2308,-0.1447,-0.3968,-0.0735,-0.2047,-0.1576,0.3182,-0.256,-0.1339,0.2989,0.7358,-0.3943,-0.6316,-0.1038,-0.2639,
