No,Ticker,R4_2016,R3_2016,R2_2016,R1_2016,R4_2015,R3_2015,R2_2015,R1_2015,R4_2014,R3_2014,R2_2014,R1_2014,R4_2013,R3_2013,R2_2013,R1_2013,R4_2012,R3_2012,R2_2012,R1_2012,R4_2011,R3_2011,R2_2011,R1_2011,R4_2010,R3_2010,R2_2010,R1_2010,R4_2009,R3_2009,R2_2009,R1_2009,R4_2008,R3_2008,R2_2008,R1_2008
1,AAA,-0.1294,-0.0816,0.2796,0.1383,0.0805,-0.0773,0.0164,0,-0.0792,-0.0717,-0.0274,-0.0732,0.1724,0.0693,-0.0097,-0.0218,0.055,-0.1525,-0.0974,0.2297,-0.0995,0.074,-0.2002,-0.1977,0.0362,-0.1954,,,,,,,,,,
2,AAM,-0.0155,0.0746,-0.0471,0.0294,-0.0492,-0.0263,-0.0283,-0.0485,-0.0491,0.0253,0.0058,-0.0339,0.0082,-0.0874,-0.0969,-0.0054,-0.0018,-0.0391,0.0166,0.012,0.0141,0.0091,0.0759,-0.0591,-0.0312,-0.088,-0.0466,0.0119,-0.2909,,,,,,,
3,ABT,0.0136,-0.0545,0.0026,0.0224,-0.0625,-0.0345,0.0736,-0.0103,-0.0167,0.0359,0.0027,0.0364,0.0684,-0.0045,-0.0166,0.011,-0.0088,-0.0171,0.0271,0.0422,-0.032,0.0011,-0.0124,-0.0055,-0.0459,-0.0777,-0.028,-0.0227,-0.1687,0.2538,0.1847,0.147,-0.0756,-0.1017,-0.1322,-0.2055
4,ACC,0.0072,0.0088,-0.0015,0.1085,-0.0467,-0.0167,-0.0953,-0.0193,0.0938,0.0127,-0.0765,0.0545,0.0451,0.0017,-0.0559,0.0231,0.0591,0.0185,-0.0414,0.1043,0.0659,-0.0174,-0.1298,-0.0955,0.0557,,,,,,,,,,,
5,ACL,-0.0101,-0.0336,-0.0091,0.0232,-0.0232,0.0329,-0.0191,-0.0486,-0.0548,0.0942,-0.0351,0.0397,-0.0046,-0.0309,-0.0406,-0.0227,-0.0648,-0.0834,-0.0744,0,0.077,-0.1609,0.0018,-0.0548,-0.031,-0.1093,-0.0325,0.1697,-0.1418,0.1749,0.0771,0.0147,-0.2244,0.0116,0.0026,-0.3581
6,AGF,-0.0393,-0.0237,-0.0225,-0.0907,-0.1492,0.018,-0.0814,0.0156,-0.0389,0.0435,-0.0435,0.0481,-0.0203,-0.301,0.2631,0.0228,-0.0521,-0.0854,0.0031,0.1408,-0.0566,0.0811,-0.0537,-0.0293,-0.0516,-0.1117,-0.0455,0.0391,-0.0212,0.256,0.0272,0.0934,-0.0792,-0.1065,-0.1366,-0.3278
7,AGM,-0.0076,-0.0431,-0.1001,0.1249,0.0592,-0.0283,-0.0179,-0.0256,-0.0162,-0.0195,-0.2653,0.1855,0.0129,0.0304,-0.1807,-0.0247,,,,,,,,,,,,,,,,,,,,
8,AGR,0.0898,-0.0603,-0.0458,0,-0.1249,-0.1383,-0.0231,-0.0359,-0.0267,0.0132,-0.0383,0.1792,0.0386,-0.0386,0,-0.0913,0.0559,-0.1498,-0.1065,0.2395,-0.1331,-0.0292,-0.1509,-0.0732,0.0137,-0.0615,-0.2361,0.06,,,,,,,,
9,AMD,-0.0015,0.0739,-0.0138,0.0986,-0.0669,-0.0417,-0.0841,0.0055,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ANV,-0.2703,0.1049,-0.0852,-0.0059,-0.0898,-0.0232,0.0185,-0.049,-0.0125,0.0522,-0.0181,0.0322,0.1139,-0.0062,0.0383,-0.0444,0.058,-0.1091,-0.1168,0.1502,-0.0594,0.102,-0.1313,-0.1698,-0.0248,-0.0969,-0.0812,0.1378,-0.1724,0.1231,0.0896,-0.0921,-0.0718,-0.2711,-0.1991,-0.1345
11,APC,0.0224,0.0393,0.0483,-0.0051,-0.0783,0.0397,0.0361,-0.022,0.0097,0.0743,0.0269,-0.0121,0.0441,0.0879,0.0337,-0.0214,-0.0083,-0.0539,-0.0911,-0.0284,0.0525,0.0633,-0.0345,-0.0194,0.0096,-0.1424,-0.1336,,,,,,,,,
12,APG,-0.2433,-0.0254,0.1811,-0.0147,0.1549,-0.0928,-0.0764,0.0142,-0.0142,0.0215,0.0807,-0.0258,0.1597,-0.0669,0.2083,0,0.1139,-0.2175,-0.1249,0.2632,-0.3358,0.1139,-0.224,-0.2153,0.0202,-0.2194,-0.0405,,,,,,,,,
13,ASM,-0.0114,0.0114,-0.0882,0.0316,0.1421,0.1489,0.0307,-0.05,-0.0815,0.0079,0.004,0.2139,-0.013,0.0196,0.0136,-0.1549,0.0512,-0.1614,-0.3505,0.0825,-0.0638,0.0678,-0.2056,0.0884,-0.3289,-0.1148,0.165,0.1104,,,,,,,,
14,ASP,-0.0078,-0.0088,-0.0512,0.1217,-0.1675,-0.0719,-0.0215,0.0215,-0.1212,0.0229,0.018,0.0317,0.1035,0,0.0825,-0.0908,0.1332,-0.1079,-0.0492,0.18,-0.1642,-0.008,-0.0921,-0.0969,-0.02,-0.151,-0.1091,0.0956,-0.1389,0.113,0.1668,0.0488,-0.1131,-0.0698,-0.1432,
15,ATG,-0.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BBC,0.0878,0.0101,0.0843,0.0062,0.0607,-0.0414,0.0487,0.0112,0.0354,-0.0278,0.1096,0.1292,-0.0246,0.1228,0.1183,-0.0065,0.1509,-0.1172,-0.1089,0.3065,0.0112,0.0115,-0.1181,-0.157,-0.0162,-0.1279,-0.0502,,,0.0383,0.2997,0.0819,-0.0656,-0.1345,-0.4216,-0.1591
17,BCE,0.0537,-0.0954,0.0187,-0.0126,-0.0122,-0.0403,-0.0566,-0.0544,-0.0208,0.0251,-0.0043,-0.0633,0.1743,0.0111,0.0114,-0.1027,0.0856,-0.0474,-0.029,0.0993,-0.0602,0.0906,-0.0906,-0.1534,-0.1103,-0.1373,,,,,,,,,,
18,BCG,-0.0322,-0.0714,-0.0065,-0.464,0.0205,0.0709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BCI,0.0038,-0.0242,0.0036,0.0092,0.0349,0.0314,0,-0.0253,0.0319,0.0112,-0.0878,0.1086,0.0778,0.0843,-0.0843,-0.0112,0.0286,-0.1337,-0.0607,0.1856,-0.0334,0.0054,-0.1921,-0.054,-0.1048,-0.1029,-0.1448,0.0704,-0.0969,0.1908,0.1882,,,,,
20,BFC,-0.0406,-0.005,0.0525,0.0879,-0.0515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BGM,-0.0075,-0.1623,-0.1313,0.1313,-0.0706,-0.1761,-0.0911,-0.0753,-0.0808,0.0615,-0.0185,0.113,0.0119,0,-0.1065,-0.0931,0.1538,-0.1461,-0.2771,0.3625,-0.2768,0.0101,,,,,,,,,,,,,,
22,BHN,0.3331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BHS,-0.072,-0.0445,-0.0206,0.0113,0.046,0.0103,0.2201,-0.0128,-0.0286,-0.0155,-0.0186,-0.058,0.0921,-0.0953,-0.0834,0.0079,-0.0131,-0.0348,-0.0496,0.0666,-0.282,0.0185,0.0656,-0.0763,-0.0206,0.0051,-0.0162,0.0049,-0.0569,0.2808,0.1355,0.0386,-0.0386,-0.1053,-0.1813,-0.1819
24,BIC,0.0995,0.0698,0.0851,0.1677,-0.1715,0.0171,0.1224,0.0849,-0.0031,0.1167,-0.0462,-0.0144,0.0856,0.0358,-0.0272,0.1148,0.0679,-0.0504,-0.0452,0.0572,0.0589,,,,,,,,,,,,,,,
25,BID,0.0052,-0.0228,0.0025,0.0177,-0.1567,-0.0245,0.1324,0.0311,0.1127,-0.0515,-0.0168,-0.0662,,,,,,,,,,,,,,,,,,,,,,,,
26,BMC,0.0265,-0.0461,-0.0291,0.0691,-0.1058,-0.055,-0.0222,-0.0322,-0.0675,-0.0403,-0.0085,-0.1274,-0.0233,-0.0808,-0.0081,0.0334,0.0458,-0.0501,-0.0995,0.3404,-0.0247,0.1254,-0.0549,0.0187,-0.0492,-0.1833,-0.1292,0.0038,-0.1134,0.0597,0.0461,-0.0325,-0.1017,-0.0419,-0.0733,-0.4265
27,BMI,0.0194,-0.021,0.0431,0.007,-0.039,0.0837,0.1014,0.0389,-0.0512,0.1123,-0.0556,0.0525,0.0892,-0.04,-0.0704,0.1988,0.0764,-0.0764,-0.0922,0.1313,-0.0834,0.0128,-0.1173,-0.0786,-0.0082,-0.0925,-0.1099,0.0782,-0.1046,-0.0513,0.1519,0.102,-0.0248,-0.0072,-0.2728,-0.328
28,BMP,-0.0194,0.0927,0.063,0.0664,-0.0278,0.1398,0.0759,0,0.072,-0.0254,-0.0269,-0.0114,0.0572,-0.028,0.0378,0.1035,0.1249,-0.0553,-0.0201,0.1402,-0.0336,0.0171,-0.0516,-0.0887,0.0018,-0.0389,-0.0395,-0.0221,-0.3826,0.2559,0.3141,0.1187,-0.0746,-0.147,-0.1601,-0.2794
29,BRC,-0.008,-0.0485,0.0943,0.0462,-0.0283,0.0382,-0.0605,0,-0.0043,-0.0169,-0.028,0.0078,0,0,-0.0078,-0.0039,0.0117,0.008,-0.1219,0.2059,,,,,,,,,,,,,,,,
30,BSI,-0.0038,0.0357,0.0481,0.0141,-0.0141,-0.0522,0.0083,-0.0164,0.0334,0.1135,0.0872,-0.0068,0.1829,0.0792,0.0389,-0.1076,0.033,-0.2398,-0.0497,0.121,-0.1151,-0.0712,,,,,,,,,,,,,,
31,BTP,0.0291,-0.0196,-0.0454,0.1108,0.0037,-0.0723,-0.0394,-0.0198,0.0592,0.0539,-0.0875,0.0304,0.0226,-0.0559,0.0763,0.1831,0.1214,0.1022,-0.0807,0.2795,-0.1107,-0.0512,-0.1392,-0.1471,-0.0382,-0.1157,-0.0272,0.0414,,,,,,,,
32,BTT,-0.1018,0.0507,-0.0279,-0.0229,-0.011,0.0835,-0.0835,0.0458,-0.0012,0.039,-0.0317,0.0099,0.1338,-0.0248,0.0352,0.0638,0.0358,-0.0477,-0.0097,0.0663,-0.0111,0.0088,-0.011,-0.0899,-0.073,-0.1272,-0.0829,,,,,,,,,
33,BVH,-0.0201,0.0353,-0.0145,0.0778,-0.0778,0.0652,0.1712,0.0112,-0.051,-0.0365,0.0606,-0.1028,0.0676,-0.0203,-0.051,-0.049,0.243,-0.1388,-0.226,0.126,-0.1383,0.0348,-0.1419,0.012,0.1398,0.1421,-0.0227,0.14,-0.0121,-0.0547,,,,,,
34,C32,-0.1423,0.0355,0.1123,0.1441,-0.0565,0.0872,-0.0458,0.0598,0,-0.0342,0.0161,0.0476,0.1538,0.1278,0.0333,0.0465,0.6463,0,-0.0969,0.1461,-0.0934,-0.1319,-0.3405,,,,,,,,,,,,,
35,C47,-0.0733,-0.0614,0,0.0387,-0.068,-0.0505,-0.035,0.035,-0.0245,-0.0282,-0.0894,0.056,0.0334,0.0282,0.0027,0.0538,0.1372,-0.0082,-0.0237,0.1288,-0.0625,0.0277,-0.1201,,,,,,,,,,,,,
36,CAV,-0.2249,-0.043,0.165,0.1121,0.0642,0.1134,0.029,-0.0561,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CCI,-0.013,-0.0232,0.0757,-0.0082,-0.132,0.006,0.0092,-0.0152,0.0441,0.0454,0.0507,0,0.0344,-0.0132,0.0269,-0.0355,0.0741,-0.0783,-0.0246,0.0689,-0.0768,-0.0481,-0.0558,-0.173,-0.0162,-0.1149,-0.1172,,,,,,,,,
38,CCL,-0.0256,-0.0713,-0.0241,0.121,-0.0442,-0.0884,-0.0435,-0.058,-0.0669,0.0406,0,0.0948,0.0813,0.013,-0.0378,-0.0772,0.0314,-0.1461,-0.1439,-0.3093,0.1802,0.0126,-0.1153,,,,,,,,,,,,,
39,CDC,0.0524,-0.0805,0.1423,0.1047,-0.022,0.0054,-0.056,-0.0141,-0.0181,0.1919,-0.058,0.1331,0.0711,0.0404,0,-0.1654,0.0792,-0.1399,-0.1389,0.2218,-0.2126,-0.0358,-0.2337,-0.1493,-0.0309,,,,,,,,,,,
40,CDO,-0.9786,0.0105,0.0475,0.0402,0.0354,0.096,-0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,STK,0.0046,-0.0683,-0.0857,-0.0343,-0.0975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CHP,0.0228,0.0152,0.0368,-0.0301,-0.0526,0.0828,0.035,0.0466,0.0394,0.0953,0,0.008,0.1526,-0.0113,0.0408,0.0124,0.0259,-0.0132,0.0857,0.0161,0.0341,-0.0502,-0.0231,-0.0626,-0.0313,,,,,,,,,,,
43,CIG,0.037,-0.1184,0.2126,0,0.0235,-0.0458,-0.0607,-0.0696,-0.0738,-0.0512,-0.0119,0.0497,0.1383,0.0185,-0.0362,-0.0334,-0.0458,-0.1249,-0.07,0.128,-0.1187,-0.2403,,,,,,,,,,,,,,
44,CII,0.0323,0.0399,0.0205,0.0442,-0.0371,-0.0276,0.0886,0.0545,-0.016,-0.0385,-0.1098,0.1373,0.0583,-0.0099,-0.044,-0.0982,-0.0155,-0.0803,-0.1091,0.236,-0.013,0.1367,-0.2738,-0.0444,0.0122,-0.0403,-0.043,0.0363,-0.2632,0.2479,0.1192,0.0558,0,-0.0032,-0.044,-0.2886
45,CLC,-0.0378,0.0073,-0.0285,0.1375,-0.0248,0.1897,-0.0242,0.0026,0.0458,0.0119,0.0137,-0.0122,0.0478,0.0894,0.1181,0.0223,0,-0.0028,0.0174,0.0774,-0.0339,0,-0.0693,,,-0.0319,-0.0456,0.0342,-0.1131,0.1461,0.0894,0.0527,-0.0272,-0.0792,-0.2584,-0.1853
46,CLG,-0.0022,-0.0289,0.0669,-0.0872,-0.0808,-0.1082,-0.054,0.0669,-0.0781,0.0226,-0.0887,0,0.0395,-0.2249,0.1854,0.1187,0.2653,-0.334,-0.2594,0.105,0.1139,-0.0751,-0.132,-0.3158,-0.0348,,,,,,,,,,,
47,CLL,0.0146,-0.0162,0.033,0.0052,-0.0615,0.0201,-0.059,0,-0.0568,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,
48,CLW,0.0266,-0.0825,0.0296,0,-0.0025,0.0289,-0.0792,0.0765,-0.0185,0.0378,-0.0247,0.0508,0.0576,0.0174,-0.0309,0.0454,0.0633,-0.0367,-0.0154,0.0876,0.0755,0.0403,0,-0.0617,,,,,,,,,,,,
49,CMG,-0.0153,0.043,-0.003,0.0091,-0.0324,0.0448,0.0717,0.0951,0.0141,0.1265,-0.0308,0.2006,0.0607,0.0339,-0.0946,-0.0532,0.1139,-0.0881,-0.1487,0.068,-0.1376,-0.026,-0.2116,-0.1091,-0.0072,-0.1141,-0.0858,0.0262,,,,,,,,
50,CMT,0.0664,-0.0532,-0.0259,-0.0185,-0.043,0.1222,0.0147,0.0231,0.008,-0.008,0.0502,0.0936,0.1652,0.0334,-0.0569,0.0399,-0.0164,0.0081,-0.1788,-0.0414,0.112,-0.0308,-0.2828,-0.2099,-0.0132,-0.2106,-0.1684,,,,,,,,,
51,CMV,0.0566,-0.0188,0.0356,-0.0356,0,0.0502,0.0059,-0.0262,0.0383,0.0093,0.0128,0,0.0267,-0.0068,-0.1358,-0.058,0.1249,-0.0414,-0.0857,-0.0913,-0.0035,0.0141,0.0828,-0.0719,-0.0536,-0.0854,,,,,,,,,,
52,CMX,-0.0193,0.0095,-0.037,0.0774,-0.1431,-0.0503,0.028,-0.0414,-0.1347,0.2139,0.0161,-0.0161,0.0414,-0.0086,-0.2418,0.2866,0.1187,-0.1091,-0.0095,-0.0362,-0.0414,-0.1047,-0.1883,-0.1279,,,,,,,,,,,,
53,CNG,-0.0176,0.0109,0.0045,0.0864,-0.0068,0.035,-0.0296,0.0195,-0.0897,0.0129,-0.0754,0.0683,0.0699,-0.0176,0.052,0.0557,0.0409,-0.0459,-0.0624,0.1028,,,,,,,,,,,,,,,,
54,COM,0.0505,-0.0057,0.0095,-0.0544,0.0741,0.0894,-0.0182,0.0308,-0.0248,0.0248,0.0064,0.0937,0.064,-0.0236,-0.0624,-0.031,0.0418,-0.0169,0.0615,-0.0645,-0.0428,0.0353,-0.0044,,,,-0.0115,,,0.0726,0.1035,0.047,0,0.0295,-0.095,-0.0815
55,CSM,-0.0202,-0.0232,-0.1427,0.0892,-0.0445,-0.0787,-0.0733,-0.0319,-0.0364,0.0395,0.019,-0.0011,0.0637,-0.0062,0.0635,0.0403,0.0938,-0.0647,0.0476,0.3851,-0.0631,-0.055,-0.1476,-0.2277,0.0208,-0.1015,-0.2499,-0.0067,-0.244,,,,,,,
56,CSV,0.0076,-0.0061,0.0984,0.0613,-0.0108,-0.0408,0.0473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,CTD,-0.0034,-0.0563,0.1058,0.1038,0.0398,0.1624,0.048,0.1083,-0.0036,-0.0141,0.0035,-0.0272,0.1891,0.0599,0.029,0.0616,0.0176,-0.0804,-0.0505,0.1309,0.0326,-0.1266,-0.1721,-0.1042,0.0064,-0.049,-0.2711,0.1087,,,,,,,,
58,CTG,0.0417,-0.0238,0.0303,-0.0154,-0.0825,-0.0341,0.0969,0,0.088,0,-0.0313,-0.0292,-0.0127,-0.0428,0.0185,-0.0969,0.1287,-0.0851,-0.0263,-0.0173,-0.0221,-0.0427,-0.0283,0.0692,0.1023,-0.1146,-0.0538,0.0046,-0.0944,-0.0572,,,,,,
59,CTI,-0.0389,-0.0062,0.0731,0.1225,-0.0324,0.0805,0.1681,0.0244,-0.0283,-0.0686,0.0312,0.096,0.1294,0.0313,0.0337,0.0071,-0.1389,-0.1288,-0.123,-0.0142,-0.1619,0.1167,-0.2328,-0.18,0.1043,-0.128,0.1821,,,,,,,,,
60,CYC,-0.0779,0.0921,0.0272,-0.0138,-0.0631,-0.0116,0.0235,-0.0119,-0.0946,0.0193,-0.1954,0.1065,0.1091,0.1319,0.0764,-0.0164,0.0889,-0.0378,0.058,-0.1249,0.1249,-0.2688,-0.0217,-0.1866,-0.0267,-0.1471,0.0046,0.0494,-0.1528,0.0719,0.0605,-0.0382,-0.1836,0.1083,-0.0403,-0.1319
61,D2D,-0.1015,0.0041,0.1078,0.0066,-0.0259,0.0327,-0.0081,0.0054,-0.0146,0.1193,0.0052,0.0269,0.0923,0.0332,-0.0025,0.0201,-0.0026,-0.032,-0.0047,0.0419,-0.058,0.0453,-0.1668,-0.1806,-0.0829,-0.072,-0.0985,0.1612,-0.1549,,,,,,,
62,DAG,-0.0727,0.0101,0.1201,0.0278,-0.0502,-0.0108,-0.1123,0.0881,0.0068,-0.0265,-0.0189,0,0.0737,-0.0179,-0.0401,-0.0839,0.1963,-0.086,0.1578,0.217,-0.06,-0.3347,-0.0252,-0.0782,0.0209,-0.0692,-0.0557,,,,,,,,,
63,DAH,0.0628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,ADS,0.0759,0.1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,DCL,0.099,-0.1892,0.1322,-0.0387,0.0172,-0.0385,-0.2298,-0.0176,0.0859,0.129,0.0136,-0.0151,0.0903,0.0799,0.1206,0.1387,0.1289,-0.1634,-0.0421,-0.0792,0,-0.0164,-0.1127,-0.1775,-0.0903,,,0.092,-0.0985,0.02,0.0952,0.1891,-0.0078,,,
