Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,-0.1823,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2714,,,,0.0545,,,,0.1338,,,0.241,,,,,,,,
,0.006,0.027,,,,,,,,,,,0.0042,,,,,,,,,,,,,,,,,,,,,,
,,-0.2174,,,,,,,,,,-0.0652,,,,,,,,,0.8326,,,,-0.0952,,,,,,,-0.1885,,,
,,,,,,,,,,,,,,,,,,,,,-0.3404,,,,,,-0.0367,,,,0.1461,,,-0.0944,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0916,,0.2549,,,-0.0034
-0.2663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2733,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.4623,,,,,,,0.2093,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0179
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0268,0.0261,,,,,,,0.3269,-0.0551,,,-0.0619,0.0849,,,-0.0909,0.15,,,0.0235,0.2241
,,,,,,,,,,,,-0.2975,,,,0.2568,,,,,,,0.4937,,,,,-0.1176,,-0.0886,,,,,0.1316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6564,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0088
