Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,-0.3624,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.4298,,,,,,,0.0211,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2795,,,,,,,,,0.2714,,,,,,,,,,,,,,,,,,,
-0.5616,0.006,,,,,,-0.2883,,,,,,0.0042,-0.3096,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.0563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0794,,,,,,,
,,,,,,,-0.1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2365,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,,,,
,,,,,,,-0.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2406,,,,,,,0.0268,0.0261,,,-0.2366,0.4155,-0.0149,,0.3269,-0.0551,0.3466,,-0.0619,0.0849,0.0261,,-0.0909,0.15,,,0.0235,0.2241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1642,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2564,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1188,0.3348,-0.0554,1.1897,-0.2047,-0.1089,,0.08,-0.0185,-0.1698,-0.0523,,,,,,,,,,,,
,,,,,,,-0.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.3144,1.0611,0.8025,-0.2562,-0.0496,-0.087,,,,,,-0.0744,0.381,-0.0453,-0.1196,0.3333,0.2692,0.0909,,,-0.026,-0.06,,,,0.1911,,,0.1653,0.156,0.238,
,,,,,,,0.1892,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2393,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2642,,,,,,-0.5435,,,,,,,,0.0797,0.3423,,0.1158,,,,,,,-0.1221,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.3684,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2804,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.587,,,,0.2447,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.1525,0.21,,,-0.1895,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,0.1703,,0.0302,,,,,,,0.0103,,
,,,,0.1143,,,,,,,,,,,,,,,,,,,,0.2407,,,-0.0556,0.0735,-0.0411,0.2286,0.186,-0.1176,0.0222,-0.013,0.1233
,,,,,,,,,,,,,,,,,0.1159,-0.1385,0.2411,0.0971,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1515,0.2544,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
