Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,-0.3624,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.191,0.0211,,,,,,,,,,,,,,,,,,,,,
,,-0.2088,,,,,,,,,,-0.0127,-0.0282,0.0026,,0.102,,-0.0386,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.1973,-0.2583,,,0.2714,-0.0909,,,0.0545,-0.1207,,,,,,,,,,,0.2838,-0.0034,,
-0.5616,0.006,0.027,,,,,,,,,,,0.0042,-0.3096,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.2796,,,,,,,-0.1892,-0.1167,,,,,,,,,,,,,,,,0.0947,0.0529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,,,,
,,,,,,,,,0.4623,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.4937,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1286,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0114,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6255,,,,,,,,,,,,,-0.1188,0.3348,-0.0554,1.1897,-0.2047,-0.1089,0.1111,0.08,-0.0185,-0.1698,-0.0523,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4745,,,,0.3144,1.0611,0.8025,,-0.0496,-0.087,-0.0857,0.0042,-0.1846,-0.112,0.0401,-0.0744,0.381,-0.0453,-0.1196,0.3333,0.2692,0.0909,-0.0625,0.1407,-0.026,-0.06,-0.0567,0.1805,,0.1911,0.3797,-0.062,0.1653,0.156,0.238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.3608,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.5435,-0.2619,-0.1935,,-0.2,,,,0.0797,0.3423,0.425,0.1158,0.0377,-0.0758,,0.1475,-0.1,0.2222,-0.1221,0.3935,0.2951,0.0852,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4621,-0.0943,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.097,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.4211,,,,0.0949,,,,-0.1142,,,,0.0539
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1563,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.4485,-0.1667,,0.129,,,,,,,,,-0.1474,,,,,,,0.0526,0.3125,,,-0.0278,,,,,,0.5478,-0.0556,0.3725,,0.0169,-0.0833
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0257,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0.1569,,,,0.1417,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,-0.427,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2669,-0.1338,-0.1004,0.0987,0.1367,0.1271,-0.0396,,0.1703,-0.1594,0.0302,,0.0459,-0.0658,0.0839,-0.0155,0.2201,0.0103,0.0255,-0.0398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0411,0.2286,0.186,,0.0222,-0.013,0.1233
,,,,,,,,,,,,,,,,1.4271,0.1159,-0.1385,0.2411,0.0971,0.1574,-0.0142,0.158,-0.0025,,,,,-0.1552,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0897,,0.1515,0.2544,,0.0177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1216,
