Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,,,,,,,-0.108,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2278,,,,0.2804,,,,-0.0167,,,0.162,,,,,,,,
,0,-0.4698,,,,,,,,,,,0.0739,,,,,,,,,,,,,,,,,,,,,,
,,-0.4245,,,,,,,,,,-0.1182,,,,,,,,,-0.4314,,,,0.0154,,,,,,,-0.161,,,
,,,,,,,,,,,,,,,,,,,,,-0.2308,,,,,,-0.0862,,,,0.02,,,0.0135,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,-0.0783,,0.1429,,,
-0.2639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.045,,,,,,,-0.3708,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.1148,0.2963,,,,,,,-0.0581,0.2346,,,-0.0086,0.0261,,,-0.1538,0.2909,,,0.0529,
,,,,,,,,,,,,-0.2075,,,,0.1875,,,,,,,0.6024,,,,,-0.1765,,-0.0147,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6977,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3208,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.18,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.4299,,,,,,,,0.0813,,,,,,0.1509,,0.2848,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.0337,,,0.1751,,,0.0374,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1727,,
,,,,,,,,,,,,,,,,,,,0.0179,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.4268,,,,,,,,,,,,-0.1698,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.1992,,,,0.0685,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2683,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0964,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5223,,,,,,,,,,,,0.1471,,,,0.2848,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,-0.2921,,,,-0.1111,,,,,,-0.1324,,,0,0.5591,,,,,,,
,,,,,,,,0,,,,,,,-0.1125,,,,0.0196,,,,,,0.1224,,0.0092,,,0.3025,,,-0.2464,,
,,,,,,,,,,,,,0.1215,,,-0.1395,,,,,,,,-0.0301,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0702,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-0.0455,,0,,,,0.003,,,,,,,,,,,,0.0811,,,0.2457,,0.0746,,,-0.0949,,,
,,,,,,,,,,,,,,,,,0.0996,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,-0.1146,,,,,-0.0387,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-0.1082,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.3727,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0838,
-0.0783,-0.1438,-0.1069,-0.1197,0.1553,,,0.0246,,,-0.0598,0.0364,-0.0088,,,0.069,0,,-0.1216,0.1231,0.1301,,,0.1727,,-0.0784,0,-0.0319,,,,,,,,
,,,,,,,,,,,,,,,,,0,,,-0.087,,,,,,,,,,,,,0.1145,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-0.2212,,,,,,,,,,,-0.2314,0.4086,,,,-0.1158,,-0.0211,,,,,,,,,,,,0.4536,,,,
,,,-0.2366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.5308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2.3143,0.7931,,,,,-0.0614,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0172,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.0755,,,-0.019,0.178,,,0.3626,0,,,-0.125,,,,,,,,,0.0323,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0.24,,,,,,
,,,,,,,,,,,,-0.0428,,,,,,,,,,,,,,,,,,,,,,,
,-0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6298,,,,,,,,,,,,,,,,,,,,,,,,-0.0213,,,,-0.0435,,,,-0.0244,,0.0204,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1059,,,,,,,,,,,,0.0162,,,,,,,,0.0594,,,0.1695,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2263,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,-0.2593,,,,,,-0.216,,,,,,,,
,,,,,,,,,,,,,,,0,,,,-0.0395,,,,0.64,,,,-0.0526,,,,,,,,
,,,,,,,,,,,,-0.1741,,,,,-0.1619,,,,,,,,,,,,,,,-0.0368,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1.7179,,,,,,,,0.7222,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.2294,,,0.04,,,,,,0.6561,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,-0.1505,,,,-0.0189,,,,,,,,,,,,0.1315,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0584,,,,,-0.1015,,,0.2653,,,,,,,,,,,,
-0.4735,,,,1.0317,,,,,,,-0.0591,,,0.0357,0.1379,,,-0.05,,,,,,,,0.2871,,,,-0.198,,,,-0.2597,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,-0.0441,
,,,,,,,,,,,,-0.0617,,,,-0.0824,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-0.0855,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,,,,,,,,,,0.118,,,,-0.0429,,0.0616,,0.0698,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2378,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0164,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.069,,,,,,,-0.1349,
,,,,1.5522,,,-0.164,,,,,,-0.3301,,,,,,,,,,,0.2105,,,-0.0217,0.1222,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.6906,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0089,,,,,,,,,,,-0.0055,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,0.029,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1168,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,-0.1493,,,,,,,,,,,,0.1339,,,,0.2295,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,,,,0.0263,,,,,,,0.7833,,,,,,0.5385,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.2203,,,,0.5714,,-0.2245,,,,,,,,,,,,,,,,,
,,,-0.2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,-0.1748,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,-0.1552,,,,0.0763,,,,-0.0279,,0.125,,,,,-0.0655,0.1215,,,,0.1518,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0238,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,
,,,,,,,,,,,,,,,0.3446,,,,-0.0755,,,,,,,0.1946,,,,,,-0.2041,,,
,,,,,,,,,,,,,,,,,0.115,,,,,,,,,,,,,,,0.2615,,,
0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,0.2344,,,,-0.02,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,0.2323,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.1355,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2234,,
,,,,,,,,,0,,-0.2933,,,,,,,,,,,,,,,,,,,,0.0357,0.0172,,,
,,,,,,,,,,,,,,,,-0.2464,,,,,,,,,,,,,-0.2052,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,-0.4253,,,,,,,,-0.0515,,,,,,,,,,,,,,,
,,,,,,,,,,,0.0707,,,,,,,-0.527,0.3429,,,0.6809,,,,0.036,,,,,-0.0294,,,-0.0726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2143,,,,0.5429,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
