Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,,0,-0.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.5652,0.6806,,-0.2789,,,,,0.0027,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,-0.4873,0.0165,0.1134,,,,,,,,,,,,,,,,,,-0.1516,,,,,,
,,,,0.7014,0.4245,-0.1719,0.0346,0.2742,-0.21,-0.0532,-0.0702,,0.0739,,,,,,,,,,,,,,,,,0.0213,-0.0417,,,,
,,,,,0.2973,0.1285,0.0646,,,,,,,,,,,-0.2836,0.1354,,,,,,,,,,,,,,,,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1105,-0.2308,-0.0385,0.096,0,-0.1241,-0.0333,-0.0862,,,,,,,,
,,,,0,0,0,0,-0.2294,-0.25,0,,,-0.1717,-0.4268,,,-0.25,-0.2,,,-0.1667,0.0667,,0.2941,,,,-0.0656,,,-0.2368,0,,-0.128,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,,,,
,,,,0.7358,0.2989,-0.1339,-0.256,0.3182,-0.1576,-0.2047,-0.0735,-0.3968,-0.1447,0.2308,,0.044,,,,,,0.3881,,,,,,-0.1468,,0.0357,,-0.0633,,0.0968,
,,,,0,0,0,0,,,,0.0077,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0,0,0,0,,-0.3707,,,,-0.1698,,,,-0.25,,,,,,,,,,,,,,,,0.125,,
,,,,0,0,0,0,0.3704,,0.0603,-0.6146,,,,0.0526,,-0.3444,-0.2121,,,,,,,0.3152,,-0.1111,-0.1354,,0.433,0.2878,,-0.0296,,
,,,,0.5946,0.3898,-0.0488,-0.1603,,,,-0.1529,-0.2778,-0.0385,-0.14,,,,0.0476,0.1136,,,,,-0.0548,,,,,,,,,,-0.0308,
,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
