Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,0,,,-0.541,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.2994,,,,,,,0.0478,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,-0.048,,,,,,,,,0.2278,,,,,,,,,,,,,,,,,,,
0,0,,,,,,-0.164,,,,,,0.0739,-0.3158,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.0612,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.0877,,,,,,,,,,,,,,,,,,,,,-0.0656,,,,,,,
,,,,,,,0.1392,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.1065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0.4634,,,,
,,,,,,,0.2632,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.075,,,,,,,-0.1148,0.2963,,,0.1603,0.0497,0.1579,,-0.0581,0.2346,0.115,,-0.0086,0.0261,0.0424,,-0.1538,0.2909,,,0.0529,
,,,,,,,-0.0994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.3565,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.1745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.0222,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0.4054,,,,,,0.2714,0.0337,0.558,0.0093,0.1751,-0.1667,,0.0374,-0.2541,0.0386,0.0512,,,,,,,,,,,,
,,,,,,,-0.0273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,1.4658,0.7222,0.2903,0,-0.127,-0.0636,,,,,,-0.0635,0.1888,0.1042,-0.0787,0.3171,0.3241,0.021,,,-0.1242,0.0672,,,-0.0688,0.3289,,,0.0692,0.1727,0.1963,
