Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,-0.541,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,0.15,0.0478,,,,,,,,,,,,,,,,,,,,,
,,-0.3856,,,,,,,,,,0.0027,0.0638,-0.14,,0.0411,,-0.0053,,,,,,,,,,,,,,,,,
,,,0,,,,,,,,,-0.12,-0.281,,,0.2278,0.0814,,,0.2804,-0.3084,,,,,,,,,,,0.1245,0.0235,,
0,0,-0.4698,,,,,,,,,,,0.0739,-0.3158,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-0.1379,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.1275,,,,,,,-0.0873,-0.1739,,,,,,,,,,,,,,,,-0.0361,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4634,,,,
,,,,,,,,,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,0.6024,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3208,,
,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
,,,,,,,,-0.0145,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.6232,,,,,,,,,,,,,0.2714,0.0337,0.558,0.0093,0.1751,-0.1667,0.2588,0.0374,-0.2541,0.0386,0.0512,,,,,,,,,,,,
