Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,AAM,,,,,,,,,,,,,,,,AAM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,ACC,,,,ACC,,,,ACC,,,ACC,,,,,,,,
,ACL,ACL,,,,,,,,,,,ACL,,,,,,,,,,,,,,,,,,,,,,
,,AGF,,,,,,,,,,AGF,,,,,,,,,AGF,,,,AGF,,,,,,,AGF,,,
,,,,,,,,,,,,,,,,,,,,,AGM,,,,,,AGM,,,,AGM,,,AGM,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,AMD,,,,,AMD,,AMD,,,AMD
ANV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,ASM,,,,,,,ASM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,BBC,BBC,,,,,,,BBC,BBC,,,BBC,BBC,,,BBC,BBC,,,BBC,BBC
,,,,,,,,,,,,BCE,,,,BCE,,,,,,,BCE,,,,,BCE,,BCE,,,,,BCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCG,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BCI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFC,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,BGM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,BHS,,,,,,,,BHS,,,,,,BHS,,BHS,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,BMC,,,BMC,,,BMC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMP,,
,,,,,,,,,,,,,,,,,,,BRC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,BTP,,,,,,,,,,,,BTP,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,C32,,,,C32,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCL,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CLC,,,,,,,,,,,,CLC,,,,CLC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLG,,
,,,,,CLL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,CMG,,,,CMG,,,,,,CMG,,,CMG,CMG,,,,,,,
,,,,,,,,CMT,,,,,,,CMT,,,,CMT,,,,,,CMT,,CMT,,,CMT,,,CMT,,
,,,,,,,,,,,,,CMV,,,CMV,,,,,,,,CMV,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CMX,,CMX,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,COM,,COM,,,,COM,,,,,,,,,,,,COM,,,COM,,COM,,,COM,,,
,,,,,,,,,,,,,,,,,CSM,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,CTD,,,,,CTD,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,DCL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DGW,,,,,DGW,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHC,
DHG,DHG,DHG,DHG,DHG,,,DHG,,,DHG,DHG,DHG,,,DHG,DHG,,DHG,DHG,DHG,,,DHG,,DHG,DHG,DHG,,,,,,,,
,,,,,,,,,,,,,,,,,DHM,,,DHM,,,,,,,,,,,,,DHM,,DHM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DMC,,,,,,,,,,,DMC,DMC,,,,DMC,,DMC,,,,,,,,,,,,DMC,,,,DMC
,,,DPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DRC,DRC,,,,,DRC,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DRH,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DSN,,,DSN,DSN,,,DSN,DSN,,,DSN,,,,,,,,,DSN,,
,,,,,,,,,DTA,,,,,,,,,,,,,,,,,,,,DTA,,,,,,
,,,,,,,,,,,,DTL,,,,,,,,,,,,,,,,,,,,,,,
,DTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXV,,,,,,,,,,,,,,,,,,,,,,,,DXV,,,,DXV,,,,DXV,,DXV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,ELC,,,,,,,,,,,,ELC,,,,,,,,ELC,,,ELC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EMC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,FCM,FCM,,,,,,FCM,,,,,,,,
,,,,,,,,,,,,,,,FCN,,,,FCN,,,,FCN,,,,FCN,,,,,,,,FCN
,,,,,,,,,,,,FDC,,,,,FDC,,,,,,,,,,,,,,,FDC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,FLC,,,,,,,,FLC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,FMC,,,FMC,,,,,,FMC,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FPT,,,,FPT,,,,,,,,,,,,FPT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GDT
,,,,,,,,,,,,,,,GIL,,,,,GIL,,,GIL,,,,,,,,,,,,
GMC,,,,GMC,,,,,,,GMC,,,GMC,GMC,,,GMC,,,,,,,,GMC,,,,GMC,,,,GMC,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,GSP,,,,,,,,,,,,,,,,,,GSP,
,,,,,,,,,,,,GTA,,,,GTA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,GTN,,,,GTN,,,,,,GTN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,HAI,,,,,,,,,,HAI,,,,HAI,,HAI,,HAI,,,,,,,,,,,HAI
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HID,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HAR,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,HAS,,,,,,,HAS,
,,,,HAX,,,HAX,,,,,,HAX,,,,,,,,,,,HAX,,,HAX,HAX,,,,,,,HAX
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,HDG,,,,,,,,,,,,
,,,,,,,,,,,,,,,,HHS,,,,,,,,,,,HHS,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,HMC,,,,,,,,,,,,,,,,,,,,HMC,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,HOT,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,HSG,,,,,,,,,,,,HSG,,,,HSG,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
