Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,AAA,AAA,AAA,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,AAM,,AAM,AAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ABT,ABT,,ABT,,,,,ABT,,,,,,,,,,,,,,,,,,,,,,,
,,,,ACC,ACC,ACC,ACC,ACC,ACC,ACC,ACC,,,,,,,,,,,,,,,,,,ACC,,,,,,
,,,,ACL,ACL,ACL,ACL,ACL,ACL,ACL,ACL,,ACL,,,,,,,,,,,,,,,,,ACL,ACL,,,,
,,,,,AGF,AGF,AGF,,,,,,,,,,,AGF,AGF,,,,,,,,,,,,,,,,
,,,,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,AGM,,,,,,,,
,,,,AGR,AGR,AGR,AGR,AGR,AGR,AGR,,,AGR,AGR,,,AGR,AGR,,,AGR,AGR,,AGR,,,,AGR,,,AGR,AGR,,AGR,
,,,,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,AMD,,,AMD,,,,,,,,,
,,,,ANV,ANV,ANV,ANV,ANV,ANV,ANV,ANV,ANV,ANV,ANV,,ANV,,,,,,ANV,,,,,,ANV,,ANV,,ANV,,ANV,ANV
,,,,APC,APC,APC,APC,,,,APC,,,,,,,,,,,,,,,,,,,,,,,,
,,,,APG,APG,APG,APG,,APG,,,,APG,,,,APG,,,,,,,,,,,,,,,,APG,,APG
,,,,ASM,ASM,ASM,ASM,ASM,,ASM,ASM,,,,ASM,,ASM,ASM,,,,,,,ASM,,ASM,ASM,,ASM,ASM,,ASM,,ASM
,,,,ASP,ASP,ASP,ASP,,,,ASP,ASP,ASP,ASP,,,,ASP,ASP,,,,,ASP,,,,,,,,,,ASP,
,,,,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,ATG,,,
,,,,BBC,BBC,BBC,BBC,BBC,,,,BBC,,,,,,,,,,,,,,,,,,,,,,,
,,,,BCE,,BCE,BCE,,,,,BCE,BCE,,,,BCE,BCE,,,BCE,,,,BCE,,,,BCE,,,BCE,,BCE,
,,,,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,BCG,,,,,BCG,,
,,,,BCI,BCI,BCI,BCI,,,,BCI,,BCI,BCI,,BCI,,,,,,,,,BCI,,,,BCI,,,,,,
,,,,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,BFC,,,,BFC,BFC,BFC,,BFC
,,,,BGM,BGM,BGM,BGM,BGM,BGM,BGM,BGM,,,,,,,,,,,,,,,,,,,BGM,BGM,BGM,BGM,BGM,BGM
,,,,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,BHN,
,,,,,BHS,BHS,,,,,,,BHS,,BHS,,,,,,,BHS,,,BHS,,BHS,,BHS,BHS,BHS,,,,BHS
,,,,BIC,BIC,BIC,BIC,BIC,BIC,BIC,,BIC,,BIC,BIC,,BIC,,BIC,BIC,BIC,BIC,BIC,,BIC,,,,,BIC,,BIC,BIC,BIC,BIC
,,,,BID,BID,BID,BID,BID,BID,BID,BID,BID,BID,BID,BID,,,BID,BID,BID,BID,,BID,BID,,BID,BID,,BID,BID,,,BID,,BID
,,,,BMC,BMC,BMC,BMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BMI,,,,BMI,,,,,,,,,,,,,,,,,,,BMI,BMI,,,,
,,,,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,,BMP,
,,,,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,BRC,,,,
,,,,BSI,BSI,BSI,BSI,BSI,BSI,BSI,BSI,,BSI,BSI,BSI,,,,,,BSI,BSI,,BSI,,,BSI,,,BSI,,BSI,BSI,BSI,BSI
,,,,,BTP,BTP,BTP,,,,BTP,,BTP,BTP,,,,,BTP,,,,,,,,,,,,,BTP,,,
,,,,BTT,BTT,BTT,BTT,,,,BTT,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,BVH,,BVH,,,,,,,,,,,,,,,,,BVH,BVH,BVH,,,,,,,
,,,,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,,C32,,,,,,,,,,,,,,,,,,
,,,,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,C47,,,,,,,
,,,,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,CAV,,CAV,CAV,CAV,,,,,,,,,,,,
,,,,CCI,CCI,CCI,CCI,CCI,CCI,CCI,CCI,CCI,CCI,,CCI,,CCI,,,CCI,,CCI,,CCI,,CCI,CCI,,CCI,CCI,,,CCI,,
,,,,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,CCL,,,,,,,,
,,,,CDC,CDC,CDC,CDC,CDC,,,CDC,,,,,,,,CDC,,,,CDC,CDC,,,CDC,,,CDC,,,,,CDC
,,,,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,CDO,,,,,,CDO,,CDO
,,,,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,STK,,,
,,,,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,CHP,,,,,,,,,,,,,,,,,,
,,,,CIG,CIG,CIG,CIG,CIG,CIG,CIG,CIG,,,,,,,,,,,,,,,,,,,,,CIG,CIG,CIG,CIG
,,,,CII,CII,CII,CII,CII,CII,CII,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CLC,CLC,CLC,CLC,CLC,CLC,CLC,CLC,CLC,CLC,,,,,,,,,,,,,,,,,,,,,,
,,,,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,CLG,,CLG,CLG,,CLG,,,,,,
,,,,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,CLL,,,,,,,CLL,,,,,,,,,CLL,CLL
,,,,CLW,CLW,CLW,CLW,CLW,CLW,,CLW,,,,,,,CLW,CLW,,,,,,,,,,,,,,,,
,,,,CMG,CMG,CMG,CMG,,,CMG,CMG,CMG,CMG,CMG,,CMG,,,CMG,,,CMG,CMG,,,,,,CMG,CMG,,,,,CMG
,,,,CMT,CMT,,CMT,,,,,,,CMT,CMT,,,,,,,,,,,,,,,CMT,,,,,
,,,,CMV,CMV,CMV,CMV,,,,CMV,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CMX,CMX,CMX,CMX,CMX,CMX,,,CMX,,CMX,CMX,CMX,CMX,CMX,CMX,CMX,,CMX,,CMX,,CMX,CMX,,,CMX,,,,CMX,
,,,,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG,,,CNG,CNG,,CNG,CNG,,,,CNG,,,,,,,,,,
,,,,COM,COM,COM,COM,COM,COM,COM,COM,,COM,,COM,,COM,COM,,,COM,,,COM,COM,COM,COM,,COM,COM,,COM,,,
,,,,CSM,CSM,CSM,CSM,CSM,CSM,CSM,CSM,,CSM,CSM,,,CSM,CSM,,CSM,,,,,,,,,,,,,,,
