Q1_2008,Q2_2008,Q3_2008,Q4_2008,Q1_2009,Q2_2009,Q3_2009,Q4_2009,Q1_2010,Q2_2010,Q3_2010,Q4_2010,Q1_2011,Q2_2011,Q3_2011,Q4_2011,Q1_2012,Q2_2012,Q3_2012,Q4_2012,Q1_2013,Q2_2013,Q3_2013,Q4_2013,Q1_2014,Q2_2014,Q3_2014,Q4_2014,Q1_2015,Q2_2015,Q3_2015,Q4_2015,Q1_2016,Q2_2016,Q3_2016,Q4_2016
,,,,,,,,,,AAA,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AAM,AAM,,,,,,,,,,,,,,,,,,,,,
,,ABT,,,,,,,,,,ABT,ABT,ABT,,ABT,,ABT,,,,,,,,,,,,,,,,,
,,,ACC,,,,,,,,,ACC,ACC,,,ACC,ACC,,,ACC,ACC,,,,,,,,,,,ACC,ACC,,
ACL,ACL,ACL,,,,,,,,,,,ACL,ACL,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGR,AGR,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,APC,,,,,,,APC,APC,,,,,,,,,,,,,,,,APC,APC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APG,,,,
,,,,,,,,,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BCE,,,,,,,,,,,,,,,,,,,,,,BCE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BFC,,
,,,,,,,,,,,,BGM,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BHN,
,,,,,,,,BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMC,,,,,,,,,,,,,BMC,BMC,BMC,BMC,BMC,BMC,BMC,BMC,BMC,BMC,BMC,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMP,,,,BMP,BMP,BMP,,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,BMP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BTP,,,,
,,,,,,,,,,,,,,,,,,,,,,,BTT,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,C32,C32,C32,,C32,C32,,,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,C32,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,CAV,CAV,,,,,,,,,,,,,,,CAV,CAV,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CDO,,,,CDO,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,CHP,,,,CHP,,,,CHP,,,,CHP
,,,,,,,,,,,,,,,,,,,,,,,,,,,CIG,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CLC,CLC,,CLC,,,,,,,,,CLC,CLC,,,,,,CLC,CLC,,,CLC,,,,,,CLC,CLC,CLC,,CLC,CLC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CLL,CLL,CLL,CLL,,CLL,CLL,CLL,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CLW,,,,CLW,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CMT,,,,,,,,,,,,,,,,,,,,,,CMT,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,CMX,,,,,,,,,,,,,,
,,,,,,,,,,,,,CNG,CNG,,CNG,CNG,CNG,CNG,CNG,CNG,CNG,,CNG,CNG,CNG,,CNG,CNG,CNG,CNG,CNG,CNG,CNG,CNG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COM,COM,COM,,COM,COM,COM
,,,,,CSM,CSM,,,,,,,,,,CSM,CSM,CSM,CSM,CSM,CSM,CSM,CSM,CSM,,,,,CSM,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,CSV,,CSV,CSV,,CSV,,CSV,CSV,,CSV
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CTD,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DCL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHC,DHC,,,,,
,,,,,DHG,,DHG,,DHG,,DHG,,DHG,DHG,DHG,DHG,DHG,,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG,DHG
,,,,,,,,,,,,,,,,DHM,DHM,DHM,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,DMC,,,,,,DMC,DMC,DMC,DMC,DMC,DMC
DPM,DPM,,,DPM,DPM,,,DPM,DPM,,,DPM,DPM,DPM,DPM,DPM,DPM,DPM,,DPM,DPM,,,DPM,,,,DPM,,,,DPM,,,
,,DPR,,,,,DPR,,,DPR,DPR,DPR,,DPR,DPR,,,DPR,DPR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,DQC,,,,,,,,,
,,,,DRC,DRC,DRC,DRC,DRC,DRC,DRC,DRC,,DRC,,DRC,DRC,DRC,DRC,DRC,DRC,DRC,DRC,,DRC,DRC,,DRC,DRC,,,DRC,,,,DRC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,DRL,,,DRL,DRL,DRL,DRL,,DRL,DRL,DRL,DRL,DRL,DRL,DRL,DRL,,DRL,DRL,,DRL,DRL,DRL
,,,,,,,,,,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,,DSN,DSN,DSN,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,DTL,DTL,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,DVP,,,DVP,DVP,DVP,DVP,DVP,DVP,,DVP,DVP,DVP,,DVP,DVP,DVP,,DVP,DVP,DVP,DVP,DVP,DVP,DVP,,DVP,DVP,DVP,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DXG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ELC,ELC,,,,,,,,,,,,,,,,ELC,,,,ELC,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EVE,EVE,,EVE,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,FCM,FCM,,,,,,,,,,,,,,,
